subject,sessionIndex,rep,letter,f1,f2,f3,f4,f5,f6
v.mal,2,13,t,62.0,94.0,63.0,78.0,125.0,31.0
v.mal,2,13,i,63.0,78.0,125.0,31.0,63.0,109.0
v.mal,2,13,e,125.0,31.0,63.0,109.0,250.0,31.0
v.mal,2,13,five,63.0,109.0,250.0,31.0,94.0,125.0
v.mal,2,13,Shift.r,250.0,31.0,94.0,125.0,109.0,78.0
v.mal,2,13,o,94.0,125.0,109.0,78.0,125.0,-93.0
v.mal,2,13,a,109.0,78.0,125.0,-93.0,125.0,187.0
v.mal,2,14,period,78.0,109.0,94.0,47.0,78.0,94.0
v.mal,2,14,t,94.0,47.0,78.0,94.0,125.0,78.0
v.mal,2,14,i,78.0,94.0,125.0,78.0,62.0,141.0
v.mal,2,14,e,125.0,78.0,62.0,141.0,265.0,79.0
v.mal,2,14,five,62.0,141.0,265.0,79.0,78.0,140.0
v.mal,2,14,Shift.r,265.0,79.0,78.0,140.0,94.0,63.0
v.mal,2,14,o,78.0,140.0,94.0,63.0,250.0,-94.0
v.mal,2,14,a,94.0,63.0,250.0,-94.0,125.0,375.0
v.mal,2,15,period,78.0,125.0,78.0,109.0,78.0,63.0
v.mal,2,15,t,78.0,109.0,78.0,63.0,125.0,16.0
v.mal,2,15,i,78.0,63.0,125.0,16.0,62.0,125.0
v.mal,2,15,e,125.0,16.0,62.0,125.0,234.0,32.0
v.mal,2,15,five,62.0,125.0,234.0,32.0,78.0,140.0
v.mal,2,15,Shift.r,234.0,32.0,78.0,140.0,94.0,63.0
v.mal,2,15,o,78.0,140.0,94.0,63.0,218.0,-78.0
v.mal,2,15,a,94.0,63.0,218.0,-78.0,125.0,219.0
